country,code
Argentina,ARG
Australia,AUS
Austria,AUT
Belgium,BEL
Brazil,BRA
Canada,CAN
Chile,CHL
China,CHN
Czech Republic,CZE
Czechoslovakia,CSK
Denmark,DNK
Finland,FIN
France,FRA
German Democratic Republic,DDR
Germany,DEU
Greece,GRC
Hungary,HUN
Iceland,ISL
India,IND
Indonesia,IDN
Ireland,IRL
Israel,ISR
Italy,ITA
Japan,JPN
Luxembourg,LUX
Mexico,MEX
Morocco,MAR
Netherlands,NLD
New Zealand,NZL
Norway,NOR
Poland,POL
Portugal,PRT
Russia,RUS
Slovak Republic,SVK
Slovenia,SVN
South Africa,ZAF
South Korea,KOR
Spain,ESP
Sweden,SWE
Switzerland,CHE
Turkey,TUR
Ukraine,UKR
United Kingdom,GBR
United States of America,USA
Yugoslavia,YUG
